gvkey,iid,gvkeyx,from,thru,tic
126554,01,000003,2000-06-05,,A
001690,01,000003,1982-11-30,,AAPL
016101,01,000003,2013-01-02,,ABBV
001078,01,000003,1964-03-31,,ABT
061302,01,000003,2022-11-01,,ACGL
143357,01,000003,2011-07-06,,ACN
012540,01,000003,1997-05-06,,ADBE
001632,01,000003,1999-10-12,,ADI
001722,01,000003,1981-07-29,,ADM
001891,01,000003,1981-03-31,,ADP
001878,01,000003,1989-12-01,,ADSK
010860,01,000003,1991-09-19,,AEE
001440,01,000003,1964-03-31,,AEP
024216,01,000003,1998-10-02,,AES
001449,01,000003,1999-05-28,,AFL
001487,01,000003,1980-03-31,,AIG
157057,01,000003,2007-04-10,,AIZ
004973,01,000003,2016-05-31,,AJG
125595,01,000003,2007-07-12,,AKAM
029751,01,000003,2016-07-01,,ALB
141384,01,000003,2017-06-19,,ALGN
028349,01,000003,1995-07-13,,ALL
316056,01,000003,2013-12-02,,ALLE
001704,01,000003,1995-03-16,,AMAT
100243,03,000003,2019-06-12,,AMCR
001161,01,000003,2017-03-20,,AMD
001598,01,000003,2013-09-23,,AME
001602,01,000003,1992-01-02,,AMGN
164708,01,000003,2005-10-03,,AMP
105365,01,000003,2007-11-19,,AMT
064768,01,000003,2005-11-21,,AMZN
020748,01,000003,2018-08-28,,ANET
003221,01,000003,1996-04-23,,AON
009771,02,000003,2017-07-26,,AOS
001678,01,000003,1997-07-28,,APA
001209,01,000003,1985-04-30,,APD
014282,01,000003,2008-09-30,,APH
118122,04,000003,2012-12-24,,APTV
064821,01,000003,2017-03-20,,ARE
004383,01,000003,2019-02-15,,ATO
029875,01,000003,2007-01-10,,AVB
180711,01,000003,2014-05-08,,AVGO
001913,01,000003,1987-12-31,,AVY
179437,01,000003,2016-03-04,,AWK
001447,01,000003,1976-06-30,,AXP
023809,01,000003,1997-01-02,,AZO
002285,01,000003,1964-03-31,,BA
007647,01,000003,1976-06-30,,BAC
001988,01,000003,1984-10-31,,BALL
002086,01,000003,1972-09-30,,BAX
002184,01,000003,1999-06-30,,BBY
002111,01,000003,1972-09-30,,BDX
004885,01,000003,1998-04-29,,BEN
002435,01,000003,1982-10-31,,BF.B
024468,01,000003,2003-11-13,,BIIB
002019,01,000003,1995-03-31,,BK
119314,01,000003,2009-11-06,,BKNG
032106,01,000003,2017-07-07,,BKR
124434,01,000003,2011-04-04,,BLK
002403,01,000003,1964-03-31,,BMY
176928,01,000003,2018-06-18,,BR
002176,02,000003,2010-02-16,,BRK.B
015417,01,000003,2021-09-20,,BRO
025279,01,000003,1995-02-24,,BSX
064925,01,000003,2006-04-03,,BXP
003243,01,000003,1988-05-31,,C
003362,01,000003,1983-08-31,,CAG
002751,01,000003,1997-05-27,,CAH
036191,01,000003,2020-04-03,,CARR
002817,01,000003,1964-03-31,,CAT
028034,01,000003,2010-07-15,,CB
184500,01,000003,2017-03-01,,CBOE
260774,01,000003,2006-11-10,,CBRE
113490,01,000003,2012-03-14,,CCI
013498,01,000003,1998-12-22,,CCL
013421,01,000003,2017-09-18,,CDNS
028320,02,000003,2019-09-23,,CDW
040614,01,000003,2022-02-02,,CEG
163946,01,000003,2008-08-27,,CF
021825,01,000003,2016-02-01,,CFG
003026,01,000003,2015-12-29,,CHD
065609,01,000003,2007-03-02,,CHRW
126136,03,000003,2016-09-08,,CHTR
002547,01,000003,1976-06-30,,CI
014824,01,000003,1997-12-18,,CINF
003170,01,000003,1964-03-31,,CL
003121,01,000003,1969-03-31,,CLX
003226,01,000003,2002-11-19,,CMCSA
149070,01,000003,2006-08-11,,CME
165914,01,000003,2011-04-28,,CMG
003650,01,000003,1965-03-31,,CMI
003439,01,000003,1999-05-03,,CMS
145552,01,000003,2016-03-30,,CNC
005742,01,000003,1985-07-31,,CNP
030990,01,000003,1998-07-01,,COF
003504,01,000003,2016-09-23,,COO
008549,01,000003,1964-03-31,,COP
031673,01,000003,2001-08-30,,COR
029028,01,000003,1993-10-01,,COST
184700,01,000003,2018-06-20,,CPAY
002663,01,000003,1964-03-31,,CPB
029901,01,000003,2018-07-02,,CPRT
028629,01,000003,2022-04-04,,CPT
137131,01,000003,2021-05-14,,CRL
157855,01,000003,2008-09-15,,CRM
020779,01,000003,1993-12-01,,CSCO
112111,01,000003,2022-09-19,,CSGP
002574,01,000003,1967-09-30,,CSX
003062,01,000003,2001-03-01,,CTAS
020548,01,000003,2008-06-23,,CTRA
111864,01,000003,2006-11-17,,CTSH
035168,01,000003,2019-06-03,,CTVA
007241,01,000003,1964-03-31,,CVS
002991,01,000003,1964-03-31,,CVX
004029,01,000003,1964-03-31,,D
003851,03,000003,2013-09-11,,DAL
004060,01,000003,1964-03-31,,DD
003835,01,000003,1964-03-31,,DE
004016,02,000003,2012-12-03,,DG
064166,01,000003,2002-12-12,,DGX
025340,01,000003,2005-07-05,,DHI
003735,01,000003,1998-11-18,,DHR
003980,01,000003,1976-06-30,,DIS
160991,01,000003,2016-05-18,,DLR
031587,01,000003,2011-12-19,,DLTR
013125,01,000003,2008-03-31,,DOC
004058,01,000003,1985-10-31,,DOV
034443,01,000003,2019-04-02,,DOW
160211,02,000003,2020-05-12,,DPZ
031846,01,000003,1995-05-30,,DRI
003897,01,000003,1964-03-31,,DTE
004093,01,000003,1976-06-30,,DUK
061483,01,000003,2008-07-31,,DVA
014934,01,000003,2000-08-30,,DVN
162887,01,000003,2020-05-12,,DXCM
016721,01,000003,2002-07-22,,EA
114524,01,000003,2002-07-22,,EBAY
004213,01,000003,1989-01-31,,ECL
003413,01,000003,1964-03-31,,ED
004423,01,000003,1997-06-19,,EFX
061388,01,000003,2017-06-19,,EG
009846,01,000003,1964-03-31,,EIX
061567,01,000003,2006-01-05,,EL
145046,01,000003,2002-07-25,,ELV
004321,01,000003,1965-03-31,,EMR
016478,01,000003,2000-11-02,,EOG
187697,01,000003,2021-12-14,,EPAM
138743,01,000003,2015-03-23,,EQIX
028733,01,000003,2001-12-03,,EQR
004430,01,000003,2022-10-03,,EQT
007970,01,000003,2009-03-17,,ES
030293,01,000003,2014-04-02,,ESS
004199,01,000003,1964-03-31,,ETN
007366,01,000003,1964-03-31,,ETR
006338,01,000003,2018-06-05,,EVRG
133366,01,000003,2011-04-01,,EW
008539,01,000003,1964-03-31,,EXC
004494,01,000003,2007-10-10,,EXPD
126296,02,000003,2007-10-02,,EXPE
160479,01,000003,2016-01-19,,EXR
004839,01,000003,1964-03-31,,F
170750,01,000003,2018-12-03,,FANG
014225,01,000003,2008-09-15,,FAST
014590,02,000003,1995-07-31,,FCX
063172,01,000003,2021-12-20,,FDS
004598,01,000003,1980-12-31,,FDX
008099,01,000003,1964-03-31,,FE
121077,01,000003,2010-12-20,,FFIV
165993,01,000003,2006-11-10,,FIS
012635,01,000003,2001-04-02,,FISV
004640,01,000003,1996-03-08,,FITB
034636,01,000003,2019-03-19,,FOXA
004605,01,000003,2016-02-01,,FRT
175404,01,000003,2022-12-19,,FSLR
183377,01,000003,2018-10-11,,FTNT
026590,01,000003,2016-07-05,,FTV
005046,01,000003,1964-03-31,,GD
005047,01,000003,1964-03-31,,GE
015855,01,000003,2003-03-31,,GEN
024856,01,000003,2004-07-01,,GILD
005071,01,000003,1969-03-31,,GIS
010614,01,000003,1989-04-30,,GL
003532,01,000003,1964-03-31,,GLW
005073,19,000003,2013-06-07,,GM
183736,01,000003,2021-03-22,,GNRC
160329,01,000003,2006-04-03,,GOOGL
005125,01,000003,1973-12-31,,GPC
141913,01,000003,2016-04-25,,GPN
141459,01,000003,2012-12-12,,GRMN
114628,01,000003,2002-07-22,,GS
005256,01,000003,1981-06-30,,GWW
005439,01,000003,1964-03-31,,HAL
005518,01,000003,1984-09-30,,HAS
005786,01,000003,1997-08-06,,HBAN
022260,04,000003,2015-01-27,,HCA
005680,01,000003,1988-03-31,,HD
061739,01,000003,1995-12-20,,HIG
186310,01,000003,2018-01-03,,HII
005643,04,000003,2017-06-19,,HLT
020904,01,000003,2016-03-30,,HOLX
001300,01,000003,1964-03-31,,HON
026156,01,000003,2015-11-02,,HPE
005606,01,000003,1974-12-31,,HPQ
005709,01,000003,2009-03-04,,HRL
061494,01,000003,2015-03-18,,HSIC
007063,01,000003,2007-03-20,,HST
005597,01,000003,1964-03-31,,HSY
027914,01,000003,1995-12-01,,HUM
028192,01,000003,2016-11-01,,HWM
006066,01,000003,1964-03-31,,IBM
163610,01,000003,2007-09-26,,ICE
024197,01,000003,2017-01-05,,IDXX
015267,01,000003,2019-08-09,,IEX
006078,01,000003,1976-03-31,,IFF
029127,01,000003,2017-02-28,,INCY
006008,01,000003,1976-12-31,,INTC
027928,01,000003,2000-12-11,,INTU
030004,01,000003,2022-09-19,,INVH
006104,01,000003,1964-03-31,,IP
017928,01,000003,2017-08-29,,IQV
030098,02,000003,2020-03-03,,IR
062374,01,000003,2009-01-06,,IRM
136725,01,000003,2008-06-02,,ISRG
012441,01,000003,2017-04-05,,IT
005878,01,000003,1986-02-28,,ITW
029804,02,000003,2008-08-21,,IVZ
006216,01,000003,2007-10-26,,J
005783,01,000003,2015-07-01,,JBHT
006268,01,000003,1986-05-31,,JCI
011811,01,000003,2018-11-13,,JKHY
006266,01,000003,1973-06-30,,JNJ
002968,01,000003,1976-06-30,,JPM
028877,02,000003,2022-06-21,,KDP
009783,01,000003,1994-03-01,,KEY
020232,01,000003,2018-11-06,,KEYS
005568,04,000003,2015-07-03,,KHC
024731,01,000003,2006-04-03,,KIM
006304,01,000003,1997-09-15,,KLAC
006435,01,000003,1964-03-31,,KMB
006310,04,000003,2012-05-25,,KMI
003144,01,000003,1964-03-31,,KO
006502,01,000003,1964-03-31,,KR
006781,01,000003,1995-05-10,,L
165123,01,000003,2019-08-09,,LDOS
006669,01,000003,2005-10-04,,LEN
014960,01,000003,2004-11-01,,LH
005492,01,000003,2008-09-22,,LHX
025124,01,000003,1992-07-01,,LIN
006730,01,000003,1970-12-31,,LLY
006774,01,000003,1984-07-31,,LMT
011554,01,000003,2016-07-01,,LNT
006829,01,000003,1984-02-29,,LOW
006565,01,000003,2012-06-05,,LRCX
009882,01,000003,1994-07-01,,LUV
161844,01,000003,2019-10-03,,LVS
294524,01,000003,2012-09-05,,LYB
165746,01,000003,2019-12-23,,LYV
160225,01,000003,2008-07-18,,MA
029649,01,000003,2016-12-02,,MAA
028930,02,000003,1998-05-21,,MAR
007085,01,000003,1981-06-30,,MAS
007154,01,000003,1970-06-30,,MCD
027965,01,000003,2007-09-07,,MCHP
007171,01,000003,1999-01-13,,MCK
139665,01,000003,2000-10-03,,MCO
142953,01,000003,2007-04-02,,MDLZ
007228,01,000003,1986-10-31,,MDT
133768,01,000003,2000-12-11,,MET
170617,01,000003,2013-12-23,,META
014418,01,000003,2017-07-26,,MGM
007146,01,000003,2003-03-21,,MKC
029733,01,000003,2014-07-02,,MLM
007435,01,000003,1964-03-31,,MMM
024316,01,000003,2012-06-29,,MNST
008543,01,000003,1964-03-31,,MO
162129,01,000003,2011-09-26,,MOS
186989,01,000003,2011-07-01,,MPC
160888,01,000003,2021-02-12,,MPWR
007257,01,000003,1964-03-31,,MRK
034410,01,000003,2021-07-21,,MRNA
007065,01,000003,1987-08-31,,MRSH
012124,01,000003,1995-09-22,,MS
178507,01,000003,2018-04-04,,MSCI
012141,01,000003,1994-06-01,,MSFT
007585,01,000003,1964-03-31,,MSI
004699,01,000003,2004-02-27,,MTB
065772,01,000003,2016-09-06,,MTD
007343,01,000003,1994-09-27,,MU
104432,01,000003,2017-10-13,,NCLH
149337,01,000003,2008-10-22,,NDAQ
007921,01,000003,2022-02-15,,NDSN
004517,01,000003,1976-06-30,,NEE
007881,01,000003,1969-06-30,,NEM
147579,01,000003,2010-12-20,,NFLX
007974,01,000003,2000-11-02,,NI
007906,01,000003,1988-11-30,,NKE
007985,01,000003,1985-06-30,,NOC
171007,01,000003,2019-11-21,,NOW
135990,03,000003,2010-01-29,,NRG
007923,01,000003,1964-03-31,,NSC
061591,01,000003,1999-06-25,,NTAP
007982,01,000003,1998-01-30,,NTRS
008030,01,000003,1985-04-30,,NUE
117768,01,000003,2001-11-30,,NVDA
012459,01,000003,2019-09-26,,NVR
018043,01,000003,2013-07-01,,NWSA
184725,01,000003,2021-03-22,,NXPI
030822,01,000003,2015-04-07,,O
024617,01,000003,2019-12-09,,ODFL
008151,01,000003,2010-03-15,,OKE
004066,01,000003,1997-12-24,,OMC
134932,01,000003,2022-06-21,,ON
012142,01,000003,1989-08-31,,ORCL
028180,01,000003,2009-03-27,,ORLY
036190,01,000003,2020-04-03,,OTIS
008068,01,000003,1982-12-31,,OXY
008402,01,000003,1998-10-01,,PAYX
008253,01,000003,1980-12-31,,PCAR
008264,01,000003,2022-10-03,,PCG
008810,01,000003,1964-03-31,,PEG
008479,01,000003,1964-03-31,,PEP
008530,01,000003,1964-03-31,,PFE
145701,01,000003,2002-07-22,,PFG
008762,01,000003,1964-03-31,,PG
013341,01,000003,1997-08-04,,PGR
008358,01,000003,1985-11-30,,PH
008823,01,000003,1984-04-30,,PHM
128978,01,000003,2017-07-26,,PKG
029984,01,000003,2003-07-17,,PLD
179621,01,000003,2008-03-31,,PM
008245,01,000003,1988-04-30,,PNC
008463,01,000003,2012-10-01,,PNR
001075,01,000003,1999-10-04,,PNW
061420,01,000003,2020-10-07,,POOL
008247,01,000003,1964-03-31,,PPG
008455,01,000003,1995-11-27,,PPL
143356,01,000003,2002-07-22,,PRU
010096,01,000003,2005-08-19,,PSA
013714,03,000003,1994-09-01,,PSKY
170841,01,000003,2012-05-01,,PSX
018699,01,000003,2021-04-20,,PTC
066446,01,000003,2009-07-01,,PWR
024616,01,000003,2015-07-20,,PYPL
024800,01,000003,1999-07-22,,QCOM
028191,01,000003,2014-12-05,,RCL
029099,01,000003,2017-03-02,,REG
023812,01,000003,2013-05-01,,REGN
004674,01,000003,1998-08-28,,RF
008898,01,000003,2017-03-20,,RJF
064891,01,000003,2007-02-02,,RL
031887,01,000003,2017-07-26,,RMD
009203,01,000003,1964-03-31,,ROK
009225,01,000003,2018-10-01,,ROL
024925,01,000003,2009-12-23,,ROP
009248,01,000003,2009-12-21,,ROST
112168,01,000003,2008-12-05,,RSG
010983,01,000003,1964-03-31,,RTX
004145,01,000003,1985-05-31,,RVTY
121382,01,000003,2017-09-01,,SBAC
025434,01,000003,2000-06-08,,SBUX
013988,01,000003,1997-06-02,,SCHW
009667,01,000003,1964-06-30,,SHW
009777,01,000003,2008-11-06,,SJM
009465,01,000003,1965-03-31,,SLB
009778,01,000003,1982-09-30,,SNA
024975,01,000003,2017-03-16,,SNPS
009850,01,000003,1964-03-31,,SO
029389,01,000003,2002-06-26,,SPG
007163,01,000003,1964-03-31,,SPGI
008272,01,000003,1964-03-31,,SRE
025313,01,000003,2019-12-23,,STE
064030,01,000003,2022-12-22,,STLD
010035,01,000003,1997-08-18,,STT
150937,01,000003,2012-07-02,,STX
002710,02,000003,2005-07-05,,STZ
010016,01,000003,1982-09-30,,SWK
001327,01,000003,2015-03-12,,SWKS
020686,01,000003,2015-11-18,,SYF
010115,01,000003,2000-12-12,,SYK
010247,01,000003,1986-12-31,,SYY
009899,01,000003,1983-11-30,,T
003505,01,000003,1976-06-30,,TAP
148349,01,000003,2016-06-03,,TDG
126721,01,000003,2020-06-22,,TDY
015414,01,000003,2021-08-30,,TECH
177267,02,000003,2011-10-17,,TEL
010453,01,000003,2020-09-21,,TER
011856,01,000003,1997-12-04,,TFC
003813,01,000003,1976-12-31,,TGT
011672,01,000003,1985-09-30,,TJX
010530,01,000003,1997-01-02,,TMO
017874,01,000003,2019-07-15,,TMUS
140541,01,000003,2004-09-01,,TPR
185532,01,000003,2022-10-12,,TRGP
022815,01,000003,2021-01-21,,TRMB
012138,01,000003,1999-10-13,,TROW
062689,05,000003,2002-08-21,,TRV
029736,01,000003,2014-01-24,,TSCO
184996,01,000003,2020-12-21,,TSLA
010793,01,000003,2005-08-11,,TSN
005959,01,000003,2010-11-17,,TT
064630,01,000003,2018-03-19,,TTWO
010499,01,000003,1964-03-31,,TXN
010519,01,000003,1978-12-31,,TXT
010789,01,000003,2020-06-22,,TYL
010795,04,000003,2015-09-03,,UAL
010894,01,000003,2016-03-07,,UDR
011032,01,000003,2014-09-22,,UHS
178704,01,000003,2016-04-18,,ULTA
010903,01,000003,1994-07-01,,UNH
010867,01,000003,1964-03-31,,UNP
010920,01,000003,2002-07-22,,UPS
066065,01,000003,2014-09-22,,URI
004723,01,000003,1999-01-04,,USB
179534,01,000003,2009-12-21,,V
032580,01,000003,2022-06-08,,VICI
015247,01,000003,2004-04-29,,VLO
011228,01,000003,1999-07-01,,VMC
180652,01,000003,2015-10-08,,VRSK
066368,01,000003,2006-02-01,,VRSN
024344,01,000003,2013-09-23,,VRTX
110179,01,000003,2009-03-04,,VTR
007637,01,000003,2004-04-23,,VTRS
002136,01,000003,1983-11-30,,VZ
060979,01,000003,2019-02-27,,WAB
061574,01,000003,2002-01-02,,WAT
164296,01,000003,2010-03-01,,WBD
011399,01,000003,2009-07-01,,WDC
011550,01,000003,2008-10-31,,WEC
005543,01,000003,2009-01-30,,WELL
008007,01,000003,1976-06-30,,WFC
014477,01,000003,1998-07-17,,WM
011506,01,000003,1975-03-31,,WMB
011259,01,000003,1982-08-31,,WMT
014822,01,000003,2019-12-05,,WRB
011376,01,000003,2020-05-22,,WST
144009,01,000003,2016-01-05,,WTW
011456,01,000003,1964-03-31,,WY
149318,01,000003,2008-11-14,,WYNN
007977,01,000003,1964-03-31,,XEL
004503,01,000003,1964-03-31,,XOM
189491,01,000003,2011-11-01,,XYL
065417,01,000003,1997-10-07,,YUM
144559,01,000003,2001-08-07,,ZBH
024405,01,000003,2019-12-23,,ZBRA
013721,01,000003,2013-06-24,,ZTS
